ключ_клиента,регион_проживания,город_проживания,возраст,пол,месяц_покупок,оборот_аптеки,оборот_рестораны,оборот_одежда_и_обувь,оборот_автоуслуги,оборот_супермаркеты,оборот_такси,оборот_красота,оборот_развлечения,оборот_жд_билеты,оборот_образование,оборот_дом_и_ремонт,оборот_спорттовары,оборот_животные,оборот_цветы,оборот_фастфуд,оборот_каршеринг,оборот_аренда_авто,активация_кэшбэка_аптеки,активация_кэшбэка_рестораны,активация_кэшбэка_одежда_и_обувь,активация_кэшбэка_автоуслуги,активация_кэшбэка_супермаркеты,активация_кэшбэка_такси,активация_кэшбэка_красота,активация_кэшбэка_развлечения,активация_кэшбэка_жд_билеты,активация_кэшбэка_образование,активация_кэшбэка_дом_и_ремонт,активация_кэшбэка_спорттовары,активация_кэшбэка_животные,активация_кэшбэка_цветы,активация_кэшбэка_фастфуд,активация_кэшбэка_каршеринг,активация_кэшбэка_аренда_авто,кэшбэк_аптеки,кэшбэк_рестораны,кэшбэк_одежда_и_обувь,кэшбэк_автоуслуги,кэшбэк_супермаркеты,кэшбэк_такси,кэшбэк_красота,кэшбэк_развлечения,кэшбэк_жд_билеты,кэшбэк_образование,кэшбэк_дом_и_ремонт,кэшбэк_спорттовары,кэшбэк_животные,кэшбэк_цветы,кэшбэк_фастфуд,кэшбэк_каршеринг,кэшбэк_аренда_авто
1889,Москва,Москва,50,M,2023-04-01,18993.0,99900.0,3294.0,,397450.0,86037.0,96570.0,27420.0,,,9112.0,2100.0,,660.0,27919.0,,,1.0,1.0,,,1.0,,,0.0,,,,0.0,,0.0,,,,864.0,486.0,,,19836.0,,,,,,,,,,,,
1889,Москва,Москва,50,M,2023-05-01,37807.0,92424.0,,6750.0,219394.0,109221.0,80520.0,76950.0,,,63936.0,5550.0,37147.0,,87510.0,,,1.0,,,0.0,1.0,,1.0,0.0,,,0.0,,,,,,,1884.0,,,,10614.0,,3663.0,,,,,,,,,,
1889,Москва,Москва,50,M,2023-06-01,20791.0,124800.0,51246.0,67490.0,479201.0,100395.0,66165.0,113100.0,,,16413.0,4215.0,8122.0,,7668.0,,,1.0,1.0,,,1.0,,,0.0,,,,,0.0,,,,,21.0,2025.0,,,21963.0,,,,,,,,,,,,
1889,Москва,Москва,50,M,2023-07-01,131129.0,18060.0,78120.0,2400.0,532117.0,63909.0,59280.0,,,,240492.0,,18297.0,,14520.0,,,1.0,1.0,,0.0,1.0,,,,,,,0.0,,,,,,6033.0,,,,22053.0,,,,,,,,,,,,
1889,Москва,Москва,50,M,2023-08-01,44096.0,198480.0,19080.0,147705.0,286070.0,69279.0,178920.0,,,,58884.0,13200.0,,,88527.0,,,0.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,13491.0,,9093.0,,,,,,,,,,
1889,Москва,Москва,50,M,2023-09-01,62766.0,165720.0,94392.0,2400.0,482997.0,91668.0,64140.0,18600.0,,2955.0,,4380.0,24570.0,,43359.0,,,0.0,,,,1.0,,1.0,,,,1.0,,0.0,,,,,,,,,21117.0,,4083.0,,,,,,,,,,
2213,Москва,Москва,52,F,2023-04-01,6885.0,,31539.0,,3817.0,9711.0,,85200.0,,,,,,,,,,,,1.0,,1.0,0.0,0.0,,,,,,1.0,,,,,,,,,2001.0,,,,,,,,,,,,
2213,Москва,Москва,52,F,2023-05-01,,,,,,9717.0,,202845.0,,,,,,,,,,,,1.0,,0.0,,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
2213,Москва,Москва,52,F,2023-06-01,,,,,1569.0,3315.0,,,31135.0,,,,,,,,,1.0,1.0,,,,,0.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
2213,Москва,Москва,52,F,2023-07-01,,,,,,18513.0,,183270.0,91452.0,,,,,,,,,1.0,,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,58770.0,,,,,,,,,
2213,Москва,Москва,52,F,2023-08-01,,,,,,4020.0,,60300.0,,,,,,,,,,,0.0,,,1.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
2213,Москва,Москва,52,F,2023-09-01,,,,,,6516.0,,96510.0,45418.0,,,,,,,,,,0.0,,0.0,1.0,,0.0,,1.0,,,,,,,,,,,,,,,,,2349.0,,,,,,,,
191765,Белгородская область,Белгород,47,F,2023-04-01,2073.0,2403.0,,1350.0,134019.0,1296.0,,2400.0,,,,,7614.0,180.0,9315.0,,,,1.0,,,,0.0,,,,,,,,0.0,,,,,111.0,,,,,,,,,,,,,,,
191765,Белгородская область,Белгород,47,F,2023-05-01,10586.0,6468.0,97923.0,,198173.0,1092.0,,,,,12792.0,147.0,780.0,,10548.0,,,,,1.0,,,,0.0,0.0,,,,,1.0,,,,,,,4893.0,,,,,,,,,,39.0,,,,
191765,Белгородская область,Белгород,47,F,2023-06-01,10611.0,,1080.0,,137376.0,792.0,,,,,240.0,,8154.0,,7317.0,,,0.0,,1.0,,,,,,,,,,1.0,,,,,,,54.0,,,,,,,,,,405.0,,,,
191765,Белгородская область,Белгород,47,F,2023-07-01,30672.0,3642.0,53415.0,5187.0,64925.0,702.0,60000.0,720.0,,,8247.0,5097.0,,,24282.0,,,1.0,0.0,,,,,1.0,,,,,,1.0,,,,,1509.0,,,,,,3000.0,,,,,,,,,,
191765,Белгородская область,Белгород,47,F,2023-08-01,22316.0,,2610.0,,80617.0,,,6000.0,,,471.0,,597.0,,3678.0,,,,,,1.0,1.0,,,,,,,0.0,1.0,,,,,,,,,3543.0,,,,,,,,27.0,,,,
191765,Белгородская область,Белгород,47,F,2023-09-01,3682.0,10140.0,231969.0,24001.0,27785.0,,3900.0,2970.0,,,1794.0,,,,11532.0,,,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,4821.0,1200.0,,,,,,,,,,,,,
256820,Свердловская область,Екатеринбург,43,M,2023-04-01,11801.0,19950.0,6576.0,460620.0,53581.0,7449.0,21450.0,,,,66458.0,,8640.0,7050.0,30025.0,,,1.0,,,1.0,,,,,,,,,,,,,,588.0,,,23031.0,,,,,,,,,,,,,
256820,Свердловская область,Екатеринбург,43,M,2023-05-01,8966.0,88976.0,,5280.0,97592.0,23007.0,6465.0,13800.0,,,4265.0,,5100.0,10590.0,58485.0,,,,,1.0,,,,1.0,1.0,,,,,0.0,,,,,,,,,,,,690.0,,,,,,,,,
256820,Свердловская область,Екатеринбург,43,M,2023-06-01,,96708.0,94278.0,101925.0,67203.0,4098.0,6450.0,,,,,,8640.0,22710.0,48263.0,,,1.0,,,,1.0,,1.0,,,,,,,0.0,,,,,,,,3252.0,,642.0,,,,,,,,,,
256820,Свердловская область,Екатеринбург,43,M,2023-07-01,3834.0,47400.0,6597.0,17760.0,114879.0,,,,,,1929.0,,,16050.0,53130.0,,,1.0,,1.0,,,,1.0,0.0,,,,,0.0,,,,,189.0,,327.0,,,,,,,,,,,,,,
256820,Свердловская область,Екатеринбург,43,M,2023-08-01,24498.0,61380.0,,3000.0,109269.0,,6450.0,98700.0,,,23970.0,,8035.0,20700.0,67125.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1218.0,,,,,,678.0,,,,,,,1032.0,,,
256820,Свердловская область,Екатеринбург,43,M,2023-09-01,9830.0,14610.0,65391.0,207900.0,73762.0,11457.0,6465.0,1350.0,,,4650.0,,9637.0,,56040.0,,,1.0,,,1.0,,,1.0,,,,,,0.0,1.0,,,,483.0,,,10395.0,,,336.0,,,,,,,,,,
282534,Москва,Москва,36,M,2023-04-01,25053.0,82266.0,57000.0,,141639.0,43842.0,21900.0,12577.0,58012.0,,,4197.0,,,140730.0,104274.0,,1.0,1.0,,,,,,,0.0,,,,1.0,,,,,477.0,1293.0,,,,,,,,,,,,,,,
282534,Москва,Москва,36,M,2023-05-01,786.0,54780.0,,,189624.0,18861.0,7200.0,9578.0,,,,,9450.0,,43578.0,74576.0,,1.0,1.0,,,,,1.0,,,,,0.0,,,,,,39.0,2778.0,,,,,360.0,,,,,,,,,,
282534,Москва,Москва,36,M,2023-06-01,8047.0,43782.0,26940.0,,216479.0,9864.0,20094.0,3379.0,,,,,,,49395.0,89201.0,,1.0,1.0,,,,,1.0,,0.0,,,,,,,,,396.0,2070.0,,,,,2304.0,,,,,,,,,,
282534,Москва,Москва,36,M,2023-07-01,,11625.0,50499.0,,112910.0,29988.0,15297.0,11785.0,,,300.0,,14551.0,,64330.0,65265.0,,,,1.0,,,,1.0,0.0,,,,,1.0,,,,,,,2523.0,,,,1392.0,,,,,,723.0,,,,
282534,Москва,Москва,36,M,2023-08-01,2019.0,33785.0,23391.0,,159244.0,2277.0,12000.0,16390.0,,,1029.0,,5118.0,,57855.0,104633.0,,,,1.0,,,,1.0,0.0,,,,,1.0,,,,,,,1167.0,,,,600.0,,,,,,255.0,,,,
